Month-Year,Luohu,Futian,Nanshan,Yantian,Bao'an,Longgang
Jul-16,"47,385","60,273","63,833","43,420","48,976","35,200"
Aug-16,"47,764","60,887","64,411","43,763","49,605","35,576"
Sep-16,"48,127","61,225","64,615","44,235","49,913","35,771"
